Customer ID,Credit Limit,Utilisation %,Avg Payment Ratio,Min Due Paid Frequency,Merchant Mix Index,Cash Withdrawal %,Recent Spend Change %,DPD Bucket Next Month,raw_score,score_norm,risk_class,top3_contribs,contribs
C0056,96292,22.2,77.8,24.6,1.0,19.6,21.3,0,0.2062,0.2062,Low,"[('pay', 0.07104), ('minpaid', 0.05412), ('util', 0.0444)]","{'spend': 0.01704, 'pay': 0.07104, 'minpaid': 0.05412, 'util': 0.0444, 'cash': 0.0196, 'merchant': 0.0}"
C0057,175005,19.4,92.4,27.5,1.0,13.9,-3.2,0,0.14008,0.14008,Low,"[('minpaid', 0.0605), ('util', 0.0388), ('pay', 0.02432)]","{'spend': 0.00256, 'pay': 0.02432, 'minpaid': 0.0605, 'util': 0.0388, 'cash': 0.0139, 'merchant': 0.0}"
C0058,56606,36.8,69.4,49.7,1.0,29.3,-27.7,1,0.33232,0.33232,Low,"[('minpaid', 0.10934), ('pay', 0.09792), ('util', 0.0736)]","{'spend': 0.02216, 'pay': 0.09792, 'minpaid': 0.10934, 'util': 0.0736, 'cash': 0.0293, 'merchant': 0.0}"
C0059,83243,22.2,77.3,35.9,0.91,27.3,-14.7,0,0.24228,0.24228,Low,"[('minpaid', 0.07898), ('pay', 0.07264), ('util', 0.0444)]","{'spend': 0.01176, 'pay': 0.07264, 'minpaid': 0.07898, 'util': 0.0444, 'cash': 0.0273, 'merchant': 0.0072}"
C0060,111247,80.5,26.8,85.9,0.64,55.5,-8.6,2,0.6754,0.6754,High,"[('pay', 0.23424), ('minpaid', 0.18898), ('util', 0.161)]","{'spend': 0.00688, 'pay': 0.23424, 'minpaid': 0.18898, 'util': 0.161, 'cash': 0.0555, 'merchant': 0.0288}"
C0061,37795,18.5,78.7,27.6,0.99,23.6,49.4,0,0.2298,0.2298,Low,"[('pay', 0.06816), ('minpaid', 0.06072), ('spend', 0.03952)]","{'spend': 0.03952, 'pay': 0.06816, 'minpaid': 0.06072, 'util': 0.037, 'cash': 0.0236, 'merchant': 0.0008}"
C0062,185087,27.3,96.5,18.5,1.0,11.8,15.2,0,0.13046,0.13046,Low,"[('util', 0.0546), ('minpaid', 0.0407), ('spend', 0.01216)]","{'spend': 0.01216, 'pay': 0.0112, 'minpaid': 0.0407, 'util': 0.0546, 'cash': 0.0118, 'merchant': 0.0}"
C0063,58191,5.3,91.2,11.7,1.0,21.7,2.1,0,0.08788,0.08788,Low,"[('pay', 0.02816), ('minpaid', 0.02574), ('cash', 0.0217)]","{'spend': 0.00168, 'pay': 0.02816, 'minpaid': 0.02574, 'util': 0.0106, 'cash': 0.0217, 'merchant': 0.0}"
C0064,86518,6.5,97.4,7.4,1.0,8.3,-3.3,0,0.04854,0.04854,Low,"[('minpaid', 0.01628), ('util', 0.013), ('pay', 0.00832)]","{'spend': 0.00264, 'pay': 0.00832, 'minpaid': 0.01628, 'util': 0.013, 'cash': 0.0083, 'merchant': 0.0}"
C0065,294707,26.3,75.0,22.4,1.0,21.7,-2.7,0,0.20574,0.20574,Low,"[('pay', 0.08), ('util', 0.0526), ('minpaid', 0.04928)]","{'spend': 0.00216, 'pay': 0.08, 'minpaid': 0.04928, 'util': 0.0526, 'cash': 0.0217, 'merchant': 0.0}"
C0066,57032,4.1,76.9,30.1,1.0,11.4,6.5,0,0.16494,0.16494,Low,"[('pay', 0.07392), ('minpaid', 0.06622), ('cash', 0.0114)]","{'spend': 0.0052, 'pay': 0.07392, 'minpaid': 0.06622, 'util': 0.0082, 'cash': 0.0114, 'merchant': 0.0}"
C0067,67266,10.8,100.0,3.9,1.0,11.6,14.2,0,0.05314,0.05314,Low,"[('util', 0.0216), ('cash', 0.0116), ('spend', 0.01136)]","{'spend': 0.01136, 'pay': 0.0, 'minpaid': 0.00858, 'util': 0.0216, 'cash': 0.0116, 'merchant': 0.0}"
C0068,212459,44.7,58.3,45.4,0.92,35.0,-11.5,0,0.37332,0.37332,Low,"[('pay', 0.13344), ('minpaid', 0.09988), ('util', 0.0894)]","{'spend': 0.0092, 'pay': 0.13344, 'minpaid': 0.09988, 'util': 0.0894, 'cash': 0.035, 'merchant': 0.0064}"
C0069,49685,23.1,100.0,9.6,1.0,14.3,-3.1,0,0.0841,0.0841,Low,"[('util', 0.0462), ('minpaid', 0.02112), ('cash', 0.0143)]","{'spend': 0.00248, 'pay': 0.0, 'minpaid': 0.02112, 'util': 0.0462, 'cash': 0.0143, 'merchant': 0.0}"
C0070,70964,39.5,67.5,34.1,1.0,34.4,-0.7,0,0.29298,0.29298,Low,"[('pay', 0.104), ('util', 0.079), ('minpaid', 0.07502)]","{'spend': 0.00056, 'pay': 0.104, 'minpaid': 0.07502, 'util': 0.079, 'cash': 0.0344, 'merchant': 0.0}"
C0071,119541,13.5,97.4,13.4,1.0,7.5,7.2,0,0.07806,0.07806,Low,"[('minpaid', 0.02948), ('util', 0.027), ('pay', 0.00832)]","{'spend': 0.00576, 'pay': 0.00832, 'minpaid': 0.02948, 'util': 0.027, 'cash': 0.0075, 'merchant': 0.0}"
C0072,115616,16.4,87.3,25.0,0.99,13.4,27.6,0,0.16472,0.16472,Low,"[('minpaid', 0.055), ('pay', 0.04064), ('util', 0.0328)]","{'spend': 0.02208, 'pay': 0.04064, 'minpaid': 0.055, 'util': 0.0328, 'cash': 0.0134, 'merchant': 0.0008}"
C0073,124753,48.5,52.3,54.5,1.0,44.4,-26.5,0,0.43514,0.43514,Medium,"[('pay', 0.15264), ('minpaid', 0.1199), ('util', 0.097)]","{'spend': 0.0212, 'pay': 0.15264, 'minpaid': 0.1199, 'util': 0.097, 'cash': 0.0444, 'merchant': 0.0}"
C0074,110342,56.8,46.3,66.1,0.84,49.7,48.7,0,0.53232,0.53232,High,"[('pay', 0.17184), ('minpaid', 0.14542), ('util', 0.1136)]","{'spend': 0.03896, 'pay': 0.17184, 'minpaid': 0.14542, 'util': 0.1136, 'cash': 0.0497, 'merchant': 0.0128}"
C0075,188626,39.5,63.5,49.6,0.84,32.5,25.3,0,0.37046,0.37046,Low,"[('pay', 0.1168), ('minpaid', 0.10912), ('util', 0.079)]","{'spend': 0.02024, 'pay': 0.1168, 'minpaid': 0.10912, 'util': 0.079, 'cash': 0.0325, 'merchant': 0.0128}"
C0076,157367,30.8,70.6,34.9,1.0,35.1,-32.7,0,0.29372,0.29372,Low,"[('pay', 0.09408), ('minpaid', 0.07678), ('util', 0.0616)]","{'spend': 0.02616, 'pay': 0.09408, 'minpaid': 0.07678, 'util': 0.0616, 'cash': 0.0351, 'merchant': 0.0}"
C0077,124862,13.8,81.6,23.9,1.0,11.5,29.4,0,0.17408,0.17408,Low,"[('pay', 0.05888), ('minpaid', 0.05258), ('util', 0.0276)]","{'spend': 0.02352, 'pay': 0.05888, 'minpaid': 0.05258, 'util': 0.0276, 'cash': 0.0115, 'merchant': 0.0}"
C0078,61823,17.1,91.8,6.0,1.0,2.5,-2.7,0,0.0783,0.0783,Low,"[('util', 0.0342), ('pay', 0.02624), ('minpaid', 0.0132)]","{'spend': 0.00216, 'pay': 0.02624, 'minpaid': 0.0132, 'util': 0.0342, 'cash': 0.0025, 'merchant': 0.0}"
C0079,60786,7.0,100.0,10.2,1.0,5.7,-6.3,0,0.04718,0.04718,Low,"[('minpaid', 0.02244), ('util', 0.014), ('cash', 0.0057)]","{'spend': 0.00504, 'pay': 0.0, 'minpaid': 0.02244, 'util': 0.014, 'cash': 0.0057, 'merchant': 0.0}"
C0080,31508,2.5,100.0,11.7,1.0,11.5,-13.2,0,0.0528,0.0528,Low,"[('minpaid', 0.02574), ('cash', 0.0115), ('spend', 0.01056)]","{'spend': 0.01056, 'pay': 0.0, 'minpaid': 0.02574, 'util': 0.005, 'cash': 0.0115, 'merchant': 0.0}"
C0081,131346,37.1,63.3,42.3,0.89,25.9,10.0,0,0.3274,0.3274,Low,"[('pay', 0.11744), ('minpaid', 0.09306), ('util', 0.0742)]","{'spend': 0.008, 'pay': 0.11744, 'minpaid': 0.09306, 'util': 0.0742, 'cash': 0.0259, 'merchant': 0.0088}"
C0082,33021,27.2,78.5,25.6,1.0,25.9,-1.4,0,0.20654,0.20654,Low,"[('pay', 0.0688), ('minpaid', 0.05632), ('util', 0.0544)]","{'spend': 0.00112, 'pay': 0.0688, 'minpaid': 0.05632, 'util': 0.0544, 'cash': 0.0259, 'merchant': 0.0}"
C0083,145958,14.5,92.6,16.8,1.0,19.3,-11.5,0,0.11814,0.11814,Low,"[('minpaid', 0.03696), ('util', 0.029), ('pay', 0.02368)]","{'spend': 0.0092, 'pay': 0.02368, 'minpaid': 0.03696, 'util': 0.029, 'cash': 0.0193, 'merchant': 0.0}"
C0084,248467,40.9,73.4,31.5,1.0,17.5,7.1,0,0.2594,0.2594,Low,"[('pay', 0.08512), ('util', 0.0818), ('minpaid', 0.0693)]","{'spend': 0.00568, 'pay': 0.08512, 'minpaid': 0.0693, 'util': 0.0818, 'cash': 0.0175, 'merchant': 0.0}"
C0085,50194,29.9,73.8,43.9,1.0,39.0,2.1,0,0.2809,0.2809,Low,"[('minpaid', 0.09658), ('pay', 0.08384), ('util', 0.0598)]","{'spend': 0.00168, 'pay': 0.08384, 'minpaid': 0.09658, 'util': 0.0598, 'cash': 0.039, 'merchant': 0.0}"
C0086,61765,55.4,43.4,64.4,0.86,43.8,-3.7,1,0.49156,0.49156,Medium,"[('pay', 0.18112), ('minpaid', 0.14168), ('util', 0.1108)]","{'spend': 0.00296, 'pay': 0.18112, 'minpaid': 0.14168, 'util': 0.1108, 'cash': 0.0438, 'merchant': 0.0112}"
C0087,69262,27.7,72.2,36.0,1.0,25.1,22.3,0,0.2665,0.2665,Low,"[('pay', 0.08896), ('minpaid', 0.0792), ('util', 0.0554)]","{'spend': 0.01784, 'pay': 0.08896, 'minpaid': 0.0792, 'util': 0.0554, 'cash': 0.0251, 'merchant': 0.0}"
C0088,142093,12.8,100.0,20.6,1.0,13.0,-0.3,0,0.08416,0.08416,Low,"[('minpaid', 0.04532), ('util', 0.0256), ('cash', 0.013)]","{'spend': 0.00024, 'pay': 0.0, 'minpaid': 0.04532, 'util': 0.0256, 'cash': 0.013, 'merchant': 0.0}"
C0089,55978,24.3,94.3,15.5,1.0,5.8,-3.8,0,0.10978,0.10978,Low,"[('util', 0.0486), ('minpaid', 0.0341), ('pay', 0.01824)]","{'spend': 0.00304, 'pay': 0.01824, 'minpaid': 0.0341, 'util': 0.0486, 'cash': 0.0058, 'merchant': 0.0}"
C0090,83765,21.4,87.7,22.4,1.0,18.4,-22.3,0,0.16768,0.16768,Low,"[('minpaid', 0.04928), ('util', 0.0428), ('pay', 0.03936)]","{'spend': 0.01784, 'pay': 0.03936, 'minpaid': 0.04928, 'util': 0.0428, 'cash': 0.0184, 'merchant': 0.0}"
